title,description,content,url,published_at,source_name,source_id,author,url_to_image,full_text,published_datetime,sectors,primary_sector,sentiment,polarity,subjectivity,business_sentiment,market_trend,keywords,top_keywords,entities,text_length,word_count,sentiment_category,business_sentiment_category
Wellgistics Health terminates equity line of credit,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",https://thefly.com/permalinks/entry.php/id4183509/WGRX-Wellgistics-Health-terminates-equity-line-of-credit,2025-08-14T12:40:53Z,Thefly.com,,,https://thefly.com/images/meta/hotstocks.jpg,"Wellgistics Health terminates equity line of credit See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor… Earnings calls, analyst events, roadshows and more",2025-08-14 12:40:53+00:00,"['healthcare', 'finance', 'automotive']",healthcare,"{'polarity': 0.25238095238095243, 'subjectivity': 0.48571428571428577, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.25238095238095243,0.48571428571428577,0.0,0.0,"[('news', 2), ('wellgistics', 1), ('health', 1), ('terminates', 1), ('equity', 1)]","['news', 'wellgistics', 'health', 'terminates', 'equity']","{'companies': ['Earnings', 'See', 'Known', 'Wellgistics Health', 'The Fly'], 'locations': [], 'currencies': [], 'numbers': []}",363,53,positive,neutral
"Vivo's Apple Vision Pro Copycat Is An In-Store Demo Only, For Now","Vivo's headset, which bears a striking resemblance to Apple Vision Pro, will be demoed in Chinese stores from next week, but won't be shipping this year.","Vivo's headset, which bears a striking resemblance to Apple Vision Pro, will be demoed in Chinese stores from next week, but won't be shipping this year.
If you're unfamiliar, Vivo is a Chinese smar… [+1540 chars]",https://www.uploadvr.com/vivo-vision-not-launching-this-year/,2025-08-14T12:40:37Z,UploadVR,,David Heaney,https://www.uploadvr.com/content/images/size/w1200/2025/08/vivo-VISION-Is-Coming-00.00.10.527.jpeg,"Vivo's Apple Vision Pro Copycat Is An In-Store Demo Only, For Now Vivo's headset, which bears a striking resemblance to Apple Vision Pro, will be demoed in Chinese stores from next week, but won't be shipping this year. Vivo's headset, which bears a striking resemblance to Apple Vision Pro, will be demoed in Chinese stores from next week, but won't be shipping this year.
If you're unfamiliar, Vivo is a Chinese smar… [+1540 chars]",2025-08-14 12:40:37+00:00,['general'],general,"{'polarity': 0.125, 'subjectivity': 0.375, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.125,0.375,0.0,0.0,"[('vivos', 3), ('apple', 3), ('vision', 3), ('pro', 3), ('chinese', 3)]","['vivos', 'apple', 'vision', 'pro', 'chinese']","{'companies': ['For Now Vivo', 'If', 'Store Demo Only', 'Vivo', 'Apple Vision Pro Copycat Is An In', 'Chinese', 'Apple Vision Pro'], 'locations': [], 'currencies': [], 'numbers': []}",434,74,positive,neutral
Candel Therapeutics files $300M mixed securities shelf,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",https://thefly.com/permalinks/entry.php/id4183508/CADL-Candel-Therapeutics-files-M-mixed-securities-shelf,2025-08-14T12:40:34Z,Thefly.com,,,https://thefly.com/images/meta/syndicate.jpg,"Candel Therapeutics files $300M mixed securities shelf See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor… Earnings calls, analyst events, roadshows and more",2025-08-14 12:40:34+00:00,['automotive'],automotive,"{'polarity': 0.22083333333333335, 'subjectivity': 0.45625, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.22083333333333335,0.45625,0.0,0.0,"[('news', 2), ('candel', 1), ('therapeutic', 1), ('file', 1), ('mixed', 1)]","['news', 'candel', 'therapeutic', 'file', 'mixed']","{'companies': ['Earnings', 'Candel Therapeutics', 'See', 'Known', 'The Fly'], 'locations': [], 'currencies': ['$300'], 'numbers': []}",366,53,positive,neutral
Skillful Craftsman Education announces update to its AI communications app,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",https://thefly.com/permalinks/entry.php/id4183507/EDTK-Skillful-Craftsman-Education-announces-update-to-its-AI-communications-app,2025-08-14T12:40:32Z,Thefly.com,,,https://thefly.com/images/meta/hotstocks.jpg,"Skillful Craftsman Education announces update to its AI communications app See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor… Earnings calls, analyst events, roadshows and more",2025-08-14 12:40:32+00:00,"['technology', 'automotive']",technology,"{'polarity': 0.25238095238095243, 'subjectivity': 0.48571428571428577, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.25238095238095243,0.48571428571428577,0.0,0.0,"[('news', 2), ('skillful', 1), ('craftsman', 1), ('education', 1), ('announces', 1)]","['news', 'skillful', 'craftsman', 'education', 'announces']","{'companies': ['See', 'AI', 'Earnings', 'Known', 'Skillful Craftsman Education', 'The Fly'], 'locations': [], 'currencies': [], 'numbers': []}",386,56,positive,neutral
"Cisco price target raised by $6 at Piper Sandler, here's why","See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",https://thefly.com/permalinks/entry.php/id4183506/CSCO-Cisco-price-target-raised-by--at-Piper-Sandler-heres-why,2025-08-14T12:40:12Z,Thefly.com,,,https://thefly.com/images/meta/streetresearch_recommendations.jpg,"Cisco price target raised by $6 at Piper Sandler, here's why See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor… Earnings calls, analyst events, roadshows and more",2025-08-14 12:40:12+00:00,"['technology', 'automotive']",technology,"{'polarity': 0.25238095238095243, 'subjectivity': 0.48571428571428577, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.25238095238095243,0.48571428571428577,0.0,0.0,"[('news', 2), ('cisco', 1), ('price', 1), ('target', 1), ('raised', 1)]","['news', 'cisco', 'price', 'target', 'raised']","{'companies': ['Piper Sandler', 'See', 'Earnings', 'Known', 'Cisco', 'The Fly'], 'locations': [], 'currencies': ['$6'], 'numbers': []}",372,57,positive,neutral
"Eli Lilly, Superluminal Medicines announce collaboration","See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",https://thefly.com/permalinks/entry.php/id4183505/LLY-Eli-Lilly-Superluminal-Medicines-announce-collaboration,2025-08-14T12:40:10Z,Thefly.com,,,https://thefly.com/images/meta/hotstocks.jpg,"Eli Lilly, Superluminal Medicines announce collaboration See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor… Earnings calls, analyst events, roadshows and more",2025-08-14 12:40:10+00:00,['automotive'],automotive,"{'polarity': 0.25238095238095243, 'subjectivity': 0.48571428571428577, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.25238095238095243,0.48571428571428577,0.0,0.0,"[('news', 2), ('eli', 1), ('lilly', 1), ('superluminal', 1), ('medicine', 1)]","['news', 'eli', 'lilly', 'superluminal', 'medicine']","{'companies': ['Superluminal Medicines', 'See', 'Earnings', 'Known', 'The Fly', 'Eli Lilly'], 'locations': [], 'currencies': [], 'numbers': []}",368,52,positive,neutral
Easy Environmental Solutions Secures Full Down Payment for First EasyFEN™ Units in Africa,Easy Environmental Solutions Secures Full Down Payment for First EasyFEN™ Units in Africa ......,"Full down payment on $3.4 million order confirms Kenyan launch
Each EasyFEN unit designed to deliver $19 million in recurring revenue annually while restoring farmland at scale
Production at full c… [+5831 chars]",https://www.globenewswire.com/news-release/2025/08/14/3133488/0/en/Easy-Environmental-Solutions-Secures-Full-Down-Payment-for-First-EasyFEN-Units-in-Africa.html,2025-08-14T12:40:00Z,GlobeNewswire,,"Digital Utilities Ventures, Inc.",https://ml.globenewswire.com/Resource/Download/1afe632f-58c5-4f6a-9e9f-8ae13ffcdd43,"Easy Environmental Solutions Secures Full Down Payment for First EasyFEN™ Units in Africa Easy Environmental Solutions Secures Full Down Payment for First EasyFEN™ Units in Africa ...... Full down payment on $3.4 million order confirms Kenyan launch
Each EasyFEN unit designed to deliver $19 million in recurring revenue annually while restoring farmland at scale
Production at full c… [+5831 chars]",2025-08-14 12:40:00+00:00,"['finance', 'automotive']",finance,"{'polarity': 0.2090909090909091, 'subjectivity': 0.49090909090909085, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.2090909090909091,0.49090909090909085,0.0,0.0,"[('full', 4), ('payment', 3), ('easyfen', 3), ('unit', 3), ('easy', 2)]","['full', 'payment', 'easyfen', 'unit', 'easy']","{'companies': ['Units', 'Africa Easy Environmental Solutions Secures Full Down Payment', 'Production', 'Each EasyFEN', 'Kenyan', 'Africa', 'Easy Environmental Solutions Secures Full Down Payment', 'First EasyFEN', 'Full'], 'locations': [], 'currencies': ['$3', '$19'], 'numbers': ['3.4 million', '19 million']}",401,60,positive,neutral
Trump’s Treasury Secretary Scott Bessent rules out new acquisitions for crypto reserve,"The decision to halt new crypto acquisitions may stabilize government reserves but could impact market dynamics and investor confidence.
The post Trump’s Treasury Secretary Scott Bessent rules out new acquisitions for crypto reserve appeared first on Crypto B…","Key Takeaways
<ul><li>The US Treasury will not acquire new crypto assets for its strategic reserve.</li><li>Existing government-held Bitcoin originated from confiscated assets and no further sales a… [+385 chars]",https://cryptobriefing.com/crypto-reserve-strategy-bessent-update/,2025-08-14T12:39:49Z,Crypto Briefing,,Vivian Nguyen,https://static.cryptobriefing.com/wp-content/uploads/2025/08/14083724/eb3da04e-c3a1-4ffa-9698-657af3612692-800x420.jpg,"Trump’s Treasury Secretary Scott Bessent rules out new acquisitions for crypto reserve The decision to halt new crypto acquisitions may stabilize government reserves but could impact market dynamics and investor confidence.
The post Trump’s Treasury Secretary Scott Bessent rules out new acquisitions for crypto reserve appeared first on Crypto B… Key Takeaways
<ul><li>The US Treasury will not acquire new crypto assets for its strategic reserve.</li><li>Existing government-held Bitcoin originated from confiscated assets and no further sales a… [+385 chars]",2025-08-14 12:39:49+00:00,['general'],general,"{'polarity': 0.11363636363636363, 'subjectivity': 0.5216450216450216, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.11363636363636363,0.5216450216450216,0.0,0.0,"[('crypto', 5), ('new', 4), ('treasury', 3), ('acquisition', 3), ('reserve', 3)]","['crypto', 'new', 'treasury', 'acquisition', 'reserve']","{'companies': ['Key Takeaways', 'Crypto', 'The', 'The US Treasury', 'Bitcoin', 'Existing', 'Trump', 'Treasury Secretary Scott Bessent'], 'locations': [], 'currencies': [], 'numbers': []}",561,78,positive,neutral
Jaguar Health reports Q2 EPS ($10.25) vs. ($2.66) last year,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",https://thefly.com/permalinks/entry.php/id4183504/JAGX-Jaguar-Health-reports-Q-EPS--vs--last-year,2025-08-14T12:39:48Z,Thefly.com,,,https://thefly.com/images/meta/earnings.jpg,"Jaguar Health reports Q2 EPS ($10.25) vs. ($2.66) last year See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor… Earnings calls, analyst events, roadshows and more",2025-08-14 12:39:48+00:00,"['healthcare', 'automotive']",healthcare,"{'polarity': 0.22083333333333335, 'subjectivity': 0.43333333333333335, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.22083333333333335,0.43333333333333335,0.0,0.0,"[('news', 2), ('jaguar', 1), ('health', 1), ('report', 1), ('eps', 1)]","['news', 'jaguar', 'health', 'report', 'eps']","{'companies': ['See', 'Earnings', 'Jaguar Health', 'Known', 'EPS', 'The Fly'], 'locations': [], 'currencies': ['$10.25', '$2.66'], 'numbers': []}",371,56,positive,neutral
Merlin to go public through Inflection Point Acquisition Corp IV combination,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",https://thefly.com/permalinks/entry.php/id4183503/BACQ-Merlin-to-go-public-through-Inflection-Point-Acquisition-Corp-IV-combination,2025-08-14T12:39:07Z,Thefly.com,,,https://thefly.com/images/meta/hotstocks.jpg,"Merlin to go public through Inflection Point Acquisition Corp IV combination See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor… Earnings calls, analyst events, roadshows and more",2025-08-14 12:39:07+00:00,['automotive'],automotive,"{'polarity': 0.22083333333333335, 'subjectivity': 0.43333333333333335, 'business_sentiment': 0.0, 'market_trend': 0.0}",0.22083333333333335,0.43333333333333335,0.0,0.0,"[('news', 2), ('merlin', 1), ('public', 1), ('inflection', 1), ('point', 1)]","['news', 'merlin', 'public', 'inflection', 'point']","{'companies': ['See', 'Merlin', 'Earnings', 'Known', 'The Fly', 'Inflection Point Acquisition Corp IV'], 'locations': [], 'currencies': [], 'numbers': []}",388,57,positive,neutral
